PMID	Title	DOI	Journal	Year	Volume	Issue	Total_author_count	Affiliated_author_count	Affiliated_author_names	Affilated_author_affiliations	Is_valid_hit	Affiliated_author_affiliations
35538548	Refining colorectal cancer classification and clinical stratification through a single-cell atlas.	10.1186/s13059-022-02677-z	Genome biology	2022	23.0	1	31.0	3.0	Rand_Tim; Khare_Sonal; Salahudeen_Ameen_A			tempus labs, inc., chicago, il, usa.; tempus labs, inc., chicago, il, usa.; tempus labs, inc., chicago, il, usa.
35388408	Privacy preserving validation for multiomic prediction models.	10.1093/bib/bbac110	Briefings in bioinformatics	2022	23.0	3	9.0	9.0	Ahmed_Talal; Carty_Mark_A; Wenric_Stephane; Dry_Jonathan_R; Salahudeen_Ameen_A; Khan_Aly_A; Lefkofsky_Eric; Stumpe_Martin_C; Pelossof_Raphael			tempus labs inc., chicago, il 60654, usa.; tempus labs inc., chicago, il 60654, usa.; tempus labs inc., chicago, il 60654, usa.; tempus labs inc., chicago, il 60654, usa.; tempus labs inc., chicago, il 60654, usa.; tempus labs inc., chicago, il 60654, usa.; tempus labs inc., chicago, il 60654, usa.; tempus labs inc., chicago, il 60654, usa.; tempus labs inc., chicago, il 60654, usa.
35584967	COVID-19 vaccine effectiveness in patients with hematologic malignancy.	10.1111/tid.13850	Transplant infectious disease : an official journal of the Transplantation Society	2022			3.0	1.0	Thompson_Michael_A			tempus labs, chicago, il.
35594047	Prevalence of Germline Findings Among Tumors From Cancer Types Lacking Hereditary Testing Guidelines.	10.1001/jamanetworkopen.2022.13070	JAMA network open	2022	5.0	5	8.0	5.0	Ashok_Arya; Stoll_Jessica; Mauer_Elizabeth; Nepomuceno_Vanessa_M; Blackwell_Kimberly_L			tempus labs inc, chicago, illinois.; tempus labs inc, chicago, illinois.; tempus labs inc, chicago, illinois.; tempus labs inc, chicago, illinois.; tempus labs inc, chicago, illinois.
35533093	rECHOmmend: An ECG-based Machine-learning Approach for Identifying Patients at High-risk of Undiagnosed Structural Heart Disease Detectable by Echocardiography.	10.1161/CIRCULATIONAHA.121.057869	Circulation	2022			14.0	8.0	Pfeifer_John_M; Raghunath_Sushravya; Leader_Joseph_B; Zimmerman_Noah; Lee_Greg; Steinhubl_Steven_R; Fornwalt_Brandon_K; Chen_RuiJun			department of translational data science and informatics, geisinger, danville, pa; heart and vascular center, evangelical hospital, lewisburg, pa; tempus labs inc, chicago, il.; department of translational data science and informatics, geisinger, danville, pa; tempus labs inc, chicago, il.; phenomic analytics and clinical data core, geisinger, danville, pa; tempus labs inc, chicago, il.; tempus labs inc, chicago, il.; tempus labs inc, chicago, il.; tempus labs inc, chicago, il; scripps research translational institute, la jolla, ca.; department of translational data science and informatics, geisinger, danville, pa; tempus labs inc, chicago, il; heart institute, geisinger, danville, pa; department of radiology, geisinger, danville, pa.; department of translational data science and informatics, geisinger, danville, pa; tempus labs inc, chicago, il; department of medicine, geisinger, danville, pa.
35593483	Comprehensive genomic profiling in advanced/metastatic colorectal cancer: number needed to test and budget impact of expanded first line use.	10.1080/13696998.2022.2080463	Journal of medical economics	2022			7.0	2.0	Belinson_Suzanne; Allo_Mina_Alsaraf			tempus labs, inc., chicago, il.; tempus labs, inc., chicago, il.
33619265	Longitudinal and multi-tissue molecular diagnostics track somatic BRCA2 reversion mutations that correct the open reading frame of germline alteration upon clinical relapse.	10.1038/s41525-021-00181-0	NPJ genomic medicine	2021	6.0	1	4.0	3.0	Sorrells_Shelly; McKinnon_Kelly_E; McBratney_Ashleigh			tempus laboratories, chicago, il, usa.; tempus laboratories, chicago, il, usa.; tempus laboratories, chicago, il, usa.
33731690	Non-secretory multiple myeloma with unusual TFG-ALK fusion showed dramatic response to ALK inhibition.	10.1038/s41525-021-00186-9	NPJ genomic medicine	2021	6.0	1	14.0	1.0	Salahudeen_Ameen			tempus labs, inc, chicago, il, usa.
33652561	Preclinical Evaluation of Artesunate as an Antineoplastic Agent in Ovarian Cancer Treatment.	10.3390/diagnostics11030395	Diagnostics (Basel, Switzerland)	2021	11.0	3	8.0	2.0	Zhang_Yilin; Salahudeen_Ameen_A			tempus labs, 600 w chicago ave. ste 510, chicago, il 60654, usa.; tempus labs, 600 w chicago ave. ste 510, chicago, il 60654, usa.
32972830	First-in-Human Phase 1b Trial of Quinacrine Plus Capecitabine in Patients With Refractory Metastatic Colorectal Cancer.	10.1016/j.clcc.2020.08.003	Clinical colorectal cancer	2021	20.0	1	19.0	1.0	White_Kevin			tempus, chicago, il.
33637709	Chromatin information content landscapes inform transcription factor and DNA interactions.	10.1038/s41467-021-21534-4	Nature communications	2021	12.0	1	7.0	1.0	Kyono_Yasuhiro			tempus labs, inc. chicago, il, chicago, usa.
33637494	Successful use of immunotherapy to treat advanced cutaneous squamous cell carcinoma in recessive dystrophic epidermolysis bullosa.	10.1136/bcr-2020-238966	BMJ case reports	2021	14.0	2	4.0	1.0	Barrett_Alexander			tempus labs inc, chicago, illinois, usa.
33625877	OncoTree: A Cancer Classification System for Precision Oncology.	10.1200/CCI.20.00108	JCO clinical cancer informatics	2021	5.0		66.0	1.0	Sanchez_Iker_Huerga			tempus labs inc, new york, ny.
33300245	Specifications of the ACMG/AMP variant interpretation guidelines for germline TP53 variants.	10.1002/humu.24152	Human mutation	2021	42.0	3	23.0	1.0	Huether_Robert			tempus, chicago, illinois, usa.
33875798	Interpretable survival prediction for colorectal cancer using deep learning.	10.1038/s41746-021-00427-2	NPJ digital medicine	2021	4.0	1	23.0	1.0	Stumpe_Martin_C			google health, tempus labs inc., chicago, il, usa.
33337916	Contemporary Clinical Trials Office: Doing More With Less.	10.1200/OP.20.00871	JCO oncology practice	2021	17.0	1	2.0	1.0	Carson_Kenneth_R			tempus labs, inc., chicago, il.
33594373	Early introductions and community transmission of SARS-CoV-2 variant B.1.1.7 in the United States.	10.1101/2021.02.10.21251540	medRxiv : the preprint server for health sciences	2021			50.0	7.0	MacKay_Matthew_J; Khullar_Gaurav; Metti_Jessica; Dudley_Joel_T; Nash_Megan; Beaubier_Nike; Mason_Christopher_E			tempus labs, chicago, il 60654, usa.; tempus labs, chicago, il 60654, usa.; tempus labs, chicago, il 60654, usa.; tempus labs, chicago, il 60654, usa.; tempus labs, chicago, il 60654, usa.; tempus labs, chicago, il 60654, usa.; tempus labs, chicago, il 60654, usa.
33891875	Early introductions and transmission of SARS-CoV-2 variant B.1.1.7 in the United States.	10.1016/j.cell.2021.03.061	Cell	2021	184.0	10	50.0	7.0	MacKay_Matthew_J; Khullar_Gaurav; Metti_Jessica; Dudley_Joel_T; Nash_Megan; Beaubier_Nike; Mason_Christopher_E			tempus labs, chicago, il 60654, usa.; tempus labs, chicago, il 60654, usa.; tempus labs, chicago, il 60654, usa.; tempus labs, chicago, il 60654, usa.; tempus labs, chicago, il 60654, usa.; tempus labs, chicago, il 60654, usa.; tempus labs, chicago, il 60654, usa; department of pathology and laboratory medicine, new york presbyterian hospital-weill cornell medicine, new york, ny 10021, usa.
33446413	Real-world Evidence of Diagnostic Testing and Treatment Patterns in US Patients With Breast Cancer With Implications for Treatment Biomarkers From RNA Sequencing Data.	10.1016/j.clbc.2020.11.012	Clinical breast cancer	2021	21.0	4	20.0	17.0	Fernandes_Louis_E; Epstein_Caroline_G; Bobe_Alexandria_M; Bell_Joshua_S_K; Stumpe_Martin_C; Salazar_Michael_E; Salahudeen_Ameen_A; Pe_Benito_Ruth_A; McCarter_Calvin; Leibowitz_Benjamin_D; Kase_Matthew; Igartua_Catherine; Huether_Robert; Hafez_Ashraf; Beaubier_Nike; Axelson_Michael_D; Palmer_Gary_A			tempus labs, chicago, il.; tempus labs, chicago, il.; tempus labs, chicago, il.; tempus labs, chicago, il.; tempus labs, chicago, il.; tempus labs, chicago, il.; tempus labs, chicago, il.; tempus labs, chicago, il.; tempus labs, chicago, il.; tempus labs, chicago, il.; tempus labs, chicago, il.; tempus labs, chicago, il.; tempus labs, chicago, il.; tempus labs, chicago, il.; tempus labs, chicago, il.; tempus labs, chicago, il.; tempus labs, chicago, il. electronic address: publications@tempus.com.
33441554	Very low mutation burden is a feature of inflamed recurrent glioblastomas responsive to cancer immunotherapy.	10.1038/s41467-020-20469-6	Nature communications	2021	12.0	1	28.0	1.0	Beaubier_Nike			tempus labs, inc., chicago, il, 60654, usa.
33588584	Deep Neural Networks Can Predict New-Onset Atrial Fibrillation From the 12-Lead ECG and Help Identify Those at Risk of Atrial Fibrillation-Related Stroke.	10.1161/CIRCULATIONAHA.120.047829	Circulation	2021	143.0	13	22.0	5.0	Nemani_Arun; Carbonati_Tanner; Johnson_Kipp_W; Zimmerman_Noah; Hafez_Ashraf			tempus labs inc, chicago, il (a.n., t.c., k.w.j., n.z., a.h.).; tempus labs inc, chicago, il (a.n., t.c., k.w.j., n.z., a.h.).; tempus labs inc, chicago, il (a.n., t.c., k.w.j., n.z., a.h.).; tempus labs inc, chicago, il (a.n., t.c., k.w.j., n.z., a.h.).; tempus labs inc, chicago, il (a.n., t.c., k.w.j., n.z., a.h.).
33619384	The NCI Genomic Data Commons.	10.1038/s41588-021-00791-5	Nature genetics	2021	53.0	3	91.0	1.0	Pedrosa_Jesús			tempus, chicago, il, usa.
33758901	PCR assay to enhance global surveillance for SARS-CoV-2 variants of concern.	10.1101/2021.01.28.21250486	medRxiv : the preprint server for health sciences	2021			36.0	6.0	Mason_Christopher_E; Khullar_Gaurav; Metti_Jessica; Dudley_Joel_T; MacKay_Matthew_J; Nash_Megan			tempus labs, chicago, il 60654, usa.; tempus labs, chicago, il 60654, usa.; tempus labs, chicago, il 60654, usa.; tempus labs, chicago, il 60654, usa.; tempus labs, chicago, il 60654, usa.; tempus labs, chicago, il 60654, usa.
34788103	Patient similarity network of newly diagnosed multiple myeloma identifies patient subgroups with distinct genetic features and clinical implications.	10.1126/sciadv.abg9551	Science advances	2021	7.0	47	17.0	1.0	Dudley_Joel_T			tempus labs inc., chicago, il, usa.
34635154	Integrative epigenomic and high-throughput functional enhancer profiling reveals determinants of enhancer heterogeneity in gastric cancer.	10.1186/s13073-021-00970-3	Genome medicine	2021	13.0	1	24.0	1.0	White_Kevin_P			tempus labs, chicago, usa. kevin@tempus.com.
34430931	"Preview of ""Interpretable systems biomarkers predict response to immune-checkpoint inhibitors""."	10.1016/j.patter.2021.100313	Patterns (New York, N.Y.)	2021	2.0	8	1.0	1.0	Guinney_Justin			tempus labs, chicago, il, usa.
34380723	Cross-sectional study of correlates and prevalence of functional and high-risk multimorbidity in an academic HIV practice in New York City.	10.1136/bmjopen-2020-047199	BMJ open	2021	11.0	8	4.0	1.0	Mauer_Elizabeth			tempus labs, inc, new york, new york, usa.
34941024	Viral Dynamics of SARS-CoV-2 Variants in Vaccinated and Unvaccinated Persons.	10.1056/NEJMc2102507	The New England journal of medicine	2021	385.0	26	19.0	8.0	Metti_Jessica; Khullar_Gaurav; Baits_Rachel; MacKay_Matthew; Salgado_Daisy; Baker_Tim; Dudley_Joel_T; Mason_Christopher_E			tempus labs, chicago, il.; tempus labs, chicago, il.; tempus labs, chicago, il.; tempus labs, chicago, il.; tempus labs, chicago, il.; tempus labs, chicago, il.; tempus labs, chicago, il.; tempus labs, chicago, il.
34836952	Whole-genome analysis of Nigerian patients with breast cancer reveals ethnic-driven somatic evolution and distinct genomic subtypes.	10.1038/s41467-021-27079-w	Nature communications	2021	12.0	1	28.0	1.0	White_Kevin_P			tempus labs inc., chicago, il, 60654, usa.
33929890	BloodPAC Data Commons for Liquid Biopsy Data.	10.1200/CCI.20.00179	JCO clinical cancer informatics	2021	5.0		10.0	1.0	Dry_Jonathan_R			tempus labs, chicago, il.
33961632	Multiplex qPCR discriminates variants of concern to enhance global surveillance of SARS-CoV-2.	10.1371/journal.pbio.3001236	PLoS biology	2021	19.0	5	39.0	6.0	Mason_Christopher_E; Khullar_Gaurav; Metti_Jessica; Dudley_Joel_T; MacKay_Matthew_J; Nash_Megan			tempus labs, chicago, illinois, united states of america.; tempus labs, chicago, illinois, united states of america.; tempus labs, chicago, illinois, united states of america.; tempus labs, chicago, illinois, united states of america.; tempus labs, chicago, illinois, united states of america.; tempus labs, chicago, illinois, united states of america.
34643931	Review of the genomic landscape of common pediatric CNS tumors and how data sharing will continue to shape this landscape in the future.	10.1007/s11033-021-06811-1	Molecular biology reports	2021	48.0	11	2.0	1.0	Kaneva_Kristiyana			pediatric oncology development, tempus labs, inc, 600 west chicago ave, #510, chicago, il, 60654, usa. kkaneva87@gmail.com.
34320344	A pan-cancer organoid platform for precision medicine.	10.1016/j.celrep.2021.109429	Cell reports	2021	36.0	4	38.0	26.0	Larsen_Brian_M; Kannan_Madhavi; Langer_Lee_F; Leibowitz_Benjamin_D; Bentaieb_Aicha; Cancino_Andrea; Drummond_Bridgette_E; Dry_Jonathan_R; Ho_Chi-Sing; Khullar_Gaurav; Mapes_Brandon; McKinnon_Kelly_E; Metti_Jessica; Perera_Jason_F; Rand_Tim_A; Sanchez-Freire_Veronica; Shaxted_Jenna_M; Stein_Michelle_M; Streit_Michael_A; Zhang_Yilin; Venkataraman_Jagadish; Stumpe_Martin_C; White_Kevin_P; Khan_Aly_A; Igartua_Catherine; Salahudeen_Ameen_A			tempus labs, chicago, il 60654, usa.; tempus labs, chicago, il 60654, usa.; tempus labs, chicago, il 60654, usa.; tempus labs, chicago, il 60654, usa.; tempus labs, chicago, il 60654, usa.; tempus labs, chicago, il 60654, usa.; tempus labs, chicago, il 60654, usa.; tempus labs, chicago, il 60654, usa.; tempus labs, chicago, il 60654, usa.; tempus labs, chicago, il 60654, usa.; tempus labs, chicago, il 60654, usa.; tempus labs, chicago, il 60654, usa.; tempus labs, chicago, il 60654, usa.; tempus labs, chicago, il 60654, usa.; tempus labs, chicago, il 60654, usa.; tempus labs, chicago, il 60654, usa.; tempus labs, chicago, il 60654, usa.; tempus labs, chicago, il 60654, usa.; tempus labs, chicago, il 60654, usa.; tempus labs, chicago, il 60654, usa.; tempus labs, chicago, il 60654, usa.; tempus labs, chicago, il 60654, usa.; tempus labs, chicago, il 60654, usa.; tempus labs, chicago, il 60654, usa; department of pathology, biological sciences division, university of chicago, chicago, il 60637, usa. electronic address: aakhan@tempus.com.; tempus labs, chicago, il 60654, usa. electronic address: katie.igartua@tempus.com.; tempus labs, chicago, il 60654, usa. electronic address: ameen@tempus.com.
34012069	Recommendations for reporting of secondary findings in clinical exome and genome sequencing, 2021 update: a policy statement of the American College of Medical Genetics and Genomics (ACMG).	10.1038/s41436-021-01171-4	Genetics in medicine : official journal of the American College of Medical Genetics	2021	23.0	8	18.0	1.0	Vlangos_Christopher_N			tempus labs, inc., chicago, il, usa.
34357101	Somatic Tumor Profile Analysis in a Patient with Germline <i>PMS2</i> Mutation and Synchronous Ovarian and Uterine Carcinomas.	10.3390/jpm11070634	Journal of personalized medicine	2021	11.0	7	6.0	1.0	Mahon_Brett			tempus, chicago, il 60654, usa.
35602201	Predicting prostate cancer specific-mortality with artificial intelligence-based Gleason grading.	10.1038/s43856-021-00005-3	Communications medicine	2021	1.0		23.0	1.0	Stumpe_Martin_C			present address: tempus labs inc, chicago, il usa.
34215841	Validation of a liquid biopsy assay with molecular and clinical profiling of circulating tumor DNA.	10.1038/s41698-021-00202-2	NPJ precision oncology	2021	5.0	1	15.0	14.0	Finkle_Justin_D; Boulos_Hala; Driessen_Terri_M; Lo_Christine; Blidner_Richard_A; Hafez_Ashraf; Khan_Aly_A; Lozac'hmeur_Ariane; McKinnon_Kelly_E; Perera_Jason; Zhu_Wei; White_Kevin_P; Tell_Robert; Beaubier_Nike			tempus labs, chicago, il, usa.; tempus labs, chicago, il, usa.; tempus labs, chicago, il, usa.; tempus labs, chicago, il, usa.; tempus labs, chicago, il, usa.; tempus labs, chicago, il, usa.; tempus labs, chicago, il, usa.; tempus labs, chicago, il, usa.; tempus labs, chicago, il, usa.; tempus labs, chicago, il, usa.; tempus labs, chicago, il, usa.; tempus labs, chicago, il, usa.; tempus labs, chicago, il, usa. bob@tempus.com.; tempus labs, chicago, il, usa. nike.beaubier@tempus.com.
34012068	ACMG SF v3.0 list for reporting of secondary findings in clinical exome and genome sequencing: a policy statement of the American College of Medical Genetics and Genomics (ACMG).	10.1038/s41436-021-01172-3	Genetics in medicine : official journal of the American College of Medical Genetics	2021	23.0	8	18.0	1.0	Vlangos_Christopher_N			tempus labs, inc., chicago, il, usa.
34345026	Correction to: ACMG SF v3.0 list for reporting of secondary findings in clinical exome and genome sequencing: a policy statement of the American College of Medical Genetics and Genomics (ACMG).	10.1038/s41436-021-01278-8	Genetics in medicine : official journal of the American College of Medical Genetics	2021	23.0	8	18.0	1.0	Vlangos_Christopher_N			tempus labs, inc., chicago, il, usa.
34645491	Artificial intelligence enables comprehensive genome interpretation and nomination of candidate diagnoses for rare genetic diseases.	10.1186/s13073-021-00965-0	Genome medicine	2021	13.0	1	28.0	1.0	De_La_Vega_Francisco_M			current address: tempus labs inc., redwood city, ca, 94065, usa.
34007079	Author Correction: The NCI Genomic Data Commons.	10.1038/s41588-021-00883-2	Nature genetics	2021	53.0	6	91.0	1.0	Pedrosa_Jesús			tempus, chicago, il, usa.
32004563	Integrating Next-Generation Sequencing with Morphology Improves Prognostic and Biologic Classification of Spitz Neoplasms.	10.1016/j.jid.2019.12.031	The Journal of investigative dermatology	2020	140.0	8	12.0	3.0	Taxter_Timothy; Beaubier_Nike; White_Kevin			tempus labs, inc., chicago, il, illinois, usa.; tempus labs, inc., chicago, il, illinois, usa.; tempus labs, inc., chicago, il, illinois, usa.
32000215	Retrospective Cohort: Genomic Differences Between Pigmented Spindle Cell Nevi of Reed and Reed-Like Melanomas.	10.1097/DAD.0000000000001603	The American Journal of dermatopathology	2020	42.0	9	15.0	4.0	Isales_Maria_Cristina; Beaubier_Nike; Taxter_Timothy_J; White_Kevin_P			tempus labs, inc, chicago, il.; tempus labs, inc, chicago, il.; tempus labs, inc, chicago, il.; tempus labs, inc, chicago, il.
32108894	Tumor Mutational Burden From Tumor-Only Sequencing Compared With Germline Subtraction From Paired Tumor and Normal Specimens.	10.1001/jamanetworkopen.2020.0202	JAMA network open	2020	3.0	2	8.0	4.0	Huether_Robert; White_Kevin; Hoskinson_Derick; Beaubier_Nike			tempus labs, chicago, illinois.; tempus labs, chicago, illinois.; tempus labs, chicago, illinois.; tempus labs, chicago, illinois.
32282793	DRAMS: A tool to detect and re-align mixed-up samples for integrative studies of multi-omics data.	10.1371/journal.pcbi.1007522	PLoS computational biology	2020	16.0	4	14.0	1.0	White_Kevin_P			tempus labs inc, chicago, illinois, united states of america.
32364535	Genomic and epigenomic EBF1 alterations modulate TERT expression in gastric cancer.	10.1172/JCI126726	The Journal of clinical investigation	2020	130.0	6	46.0	1.0	White_Kevin			tempus labs, chicago, illinois, usa.
32393799	Prediction of mortality from 12-lead electrocardiogram voltage data using a deep neural network.	10.1038/s41591-020-0870-z	Nature medicine	2020	26.0	6	22.0	5.0	Stumpe_Martin_C; Hafez_Ashraf; Nemani_Arun; Carbonati_Tanner; Johnson_Kipp_W			tempus labs, inc., chicago, il, usa.; tempus labs, inc., chicago, il, usa.; tempus labs, inc., chicago, il, usa.; tempus labs, inc., chicago, il, usa.; tempus labs, inc., chicago, il, usa.
32484845	Contrasting model mechanisms of alanine aminotransferase (ALT) release from damaged and necrotic hepatocytes as an example of general biomarker mechanisms.	10.1371/journal.pcbi.1007622	PLoS computational biology	2020	16.0	6	8.0	1.0	Ropella_Glen_E_P			tempus dictum, inc., milwaukie, oregon, united states of america.
31542774	Integrated paired-end enhancer profiling and whole-genome sequencing reveals recurrent <i>CCNE1</i> and <i>IGF2</i> enhancer hijacking in primary gastric adenocarcinoma.	10.1136/gutjnl-2018-317612	Gut	2020	69.0	6	26.0	1.0	White_Kevin_P			tempus labs, chicago, illinois, usa.
32684305	Identification of Differential Tumor Subtypes of T1 Bladder Cancer.	10.1016/j.eururo.2020.06.048	European urology	2020	78.0	4	17.0	1.0	Taxter_Timothy_J			tempus labs, inc., chicago, il, usa.
32383249	Clinical validity of expanded carrier screening: Evaluating the gene-disease relationship in more than 200 conditions.	10.1002/humu.24033	Human mutation	2020	41.0	8	10.0	1.0	Beauchamp_Kyle			tempus, redwood city, california.
32526042	Molecular analysis of atypical deep penetrating nevus progressing to melanoma.	10.1111/cup.13775	Journal of cutaneous pathology	2020	47.0	12	8.0	1.0	Beaubier_Nike			tempus labs, inc., chicago, illinois, usa.
33242405	Clonal Hematopoiesis Before, During, and After Human Spaceflight.	10.1016/j.celrep.2020.108458	Cell reports	2020	33.0	10	20.0	1.0	Hassane_Duane_C			weill cornell medicine, new york, ny, usa; department of physiology and biophysics, weill cornell medicine, new york, 10065, usa; tempus labs inc. chicago, il, usa. electronic address: duane.hassane@gmail.com.
32728046	An integrative ENCODE resource for cancer genomics.	10.1038/s41467-020-14743-w	Nature communications	2020	11.0	1	58.0	1.0	White_Kevin_P			tempus labs, chicago, il, 60654, usa. kevin@tempus.com.
32701148	Development and Validation of a Deep Learning Algorithm for Gleason Grading of Prostate Cancer From Biopsy Specimens.	10.1001/jamaoncol.2020.2485	JAMA oncology	2020	6.0	9	26.0	1.0	Stumpe_Martin_C			now with tempus, inc, redwood shores, california.
33292397	STARRPeaker: uniform processing and accurate identification of STARR-seq active regions.	10.1186/s13059-020-02194-x	Genome biology	2020	21.0	1	11.0	5.0	Shi_Manman; Moran_Jennifer; Wall_Martha; Kyono_Yasuhiro; White_Kevin_P			tempus labs, inc., chicago, il, 60654, usa.; tempus labs, inc., chicago, il, 60654, usa.; tempus labs, inc., chicago, il, 60654, usa.; tempus labs, inc., chicago, il, 60654, usa.; tempus labs, inc., chicago, il, 60654, usa. kevin@tempus.com.
33242416	Fundamental Biological Features of Spaceflight: Advancing the Field to Enable Deep-Space Exploration.	10.1016/j.cell.2020.10.050	Cell	2020	183.0	5	38.0	1.0	Hassane_Duane			tempus labs, inc., chicago, il 60654, usa.
32721622	The advances of organic chromium based polymer gels and their application in improved oil recovery.	10.1016/j.cis.2020.102214	Advances in colloid and interface science	2020	282.0		7.0	1.0	Aidarova_Saule			key laboratory of unconventional oil & gas development (china university of petroleum (east china)), ministry of education, qingdao 266580, pr china; school of petroleum engineering, china university of petroleum (east china), qingdao 266580, pr china; kazakh-british technical university, almaty 050000, kazakhstan. electronic address: tempus_aidarova@mail.ru.
33205120	Identification of Intrinsic Drug Resistance and Its Biomarkers in High-Throughput Pharmacogenomic and CRISPR Screens.	10.1016/j.patter.2020.100065	Patterns (New York, N.Y.)	2020	1.0	5	10.0	1.0	Dry_Jonathan_R			tempus labs, boston, ma, usa.
33077832	Automated microfluidic platform for dynamic and combinatorial drug screening of tumor organoids.	10.1038/s41467-020-19058-4	Nature communications	2020	11.0	1	10.0	1.0	White_Kevin_P			tempus labs, chicago, il, 60654, usa.
