PMID	Title	DOI	Journal	Year	Volume	Issue	Total_author_count	Affiliated_author_count	Affiliated_author_names
33929890	BloodPAC Data Commons for Liquid Biopsy Data.	10.1200/CCI.20.00179	JCO clinical cancer informatics	2021	5		10	1	Dry_Jonathan_R
34380723	Cross-sectional study of correlates and prevalence of functional and high-risk multimorbidity in an academic HIV practice in New York City.	10.1136/bmjopen-2020-047199	BMJ open	2021	11	8	4	1	Mauer_Elizabeth
34941024	Viral Dynamics of SARS-CoV-2 Variants in Vaccinated and Unvaccinated Persons.	10.1056/NEJMc2102507	The New England journal of medicine	2021	385	26	19	8	Metti_Jessica; Khullar_Gaurav; Baits_Rachel; MacKay_Matthew; Salgado_Daisy; Baker_Tim; Dudley_Joel_T; Mason_Christopher_E
34836952	Whole-genome analysis of Nigerian patients with breast cancer reveals ethnic-driven somatic evolution and distinct genomic subtypes.	10.1038/s41467-021-27079-w	Nature communications	2021	12	1	28	1	White_Kevin_P
34794190	Systematic Review and Meta-Analysis of L-Methylfolate Augmentation in Depressive Disorders.	10.1055/a-1681-2047	Pharmacopsychiatry	2021			5	1	Brown_Lisa_C
34788103	Patient similarity network of newly diagnosed multiple myeloma identifies patient subgroups with distinct genetic features and clinical implications.	10.1126/sciadv.abg9551	Science advances	2021	7	47	17	1	Dudley_Joel_T
33961632	Multiplex qPCR discriminates variants of concern to enhance global surveillance of SARS-CoV-2.	10.1371/journal.pbio.3001236	PLoS biology	2021	19	5	39	6	Mason_Christopher_E; Khullar_Gaurav; Metti_Jessica; Dudley_Joel_T; MacKay_Matthew_J; Nash_Megan
34635154	Integrative epigenomic and high-throughput functional enhancer profiling reveals determinants of enhancer heterogeneity in gastric cancer.	10.1186/s13073-021-00970-3	Genome medicine	2021	13	1	24	1	White_Kevin_P
34430931	"Preview of ""Interpretable systems biomarkers predict response to immune-checkpoint inhibitors""."	10.1016/j.patter.2021.100313	Patterns (New York, N.Y.)	2021	2	8	1	1	Guinney_Justin
34643931	Review of the genomic landscape of common pediatric CNS tumors and how data sharing will continue to shape this landscape in the future.	10.1007/s11033-021-06811-1	Molecular biology reports	2021	48	11	2	1	Kaneva_Kristiyana
34357101	Somatic Tumor Profile Analysis in a Patient with Germline <i>PMS2</i> Mutation and Synchronous Ovarian and Uterine Carcinomas.	10.3390/jpm11070634	Journal of personalized medicine	2021	11	7	6	1	Mahon_Brett
34345026	Correction to: ACMG SF v3.0 list for reporting of secondary findings in clinical exome and genome sequencing: a policy statement of the American College of Medical Genetics and Genomics (ACMG).	10.1038/s41436-021-01278-8	Genetics in medicine : official journal of the American College of Medical Genetics	2021	23	8	18	1	Vlangos_Christopher_N
34320344	A pan-cancer organoid platform for precision medicine.	10.1016/j.celrep.2021.109429	Cell reports	2021	36	4	38	26	Larsen_Brian_M; Kannan_Madhavi; Langer_Lee_F; Leibowitz_Benjamin_D; Bentaieb_Aicha; Cancino_Andrea; Drummond_Bridgette_E; Dry_Jonathan_R; Ho_Chi-Sing; Khullar_Gaurav; Mapes_Brandon; McKinnon_Kelly_E; Metti_Jessica; Perera_Jason_F; Rand_Tim_A; Sanchez-Freire_Veronica; Shaxted_Jenna_M; Stein_Michelle_M; Streit_Michael_A; Zhang_Yilin; Venkataraman_Jagadish; Stumpe_Martin_C; White_Kevin_P; Khan_Aly_A; Igartua_Catherine; Salahudeen_Ameen_A
34215841	Validation of a liquid biopsy assay with molecular and clinical profiling of circulating tumor DNA.	10.1038/s41698-021-00202-2	NPJ precision oncology	2021	5	1	15	14	Finkle_Justin_D; Boulos_Hala; Driessen_Terri_M; Lo_Christine; Blidner_Richard_A; Hafez_Ashraf; Khan_Aly_A; Lozac'hmeur_Ariane; McKinnon_Kelly_E; Perera_Jason; Zhu_Wei; White_Kevin_P; Tell_Robert; Beaubier_Nike
34012069	Recommendations for reporting of secondary findings in clinical exome and genome sequencing, 2021 update: a policy statement of the American College of Medical Genetics and Genomics (ACMG).	10.1038/s41436-021-01171-4	Genetics in medicine : official journal of the American College of Medical Genetics	2021	23	8	18	1	Vlangos_Christopher_N
34012068	ACMG SF v3.0 list for reporting of secondary findings in clinical exome and genome sequencing: a policy statement of the American College of Medical Genetics and Genomics (ACMG).	10.1038/s41436-021-01172-3	Genetics in medicine : official journal of the American College of Medical Genetics	2021	23	8	18	1	Vlangos_Christopher_N
31542774	Integrated paired-end enhancer profiling and whole-genome sequencing reveals recurrent <i>CCNE1</i> and <i>IGF2</i> enhancer hijacking in primary gastric adenocarcinoma.	10.1136/gutjnl-2018-317612	Gut	2020	69	6	26	1	White_Kevin_P
32000215	Retrospective Cohort: Genomic Differences Between Pigmented Spindle Cell Nevi of Reed and Reed-Like Melanomas.	10.1097/DAD.0000000000001603	The American Journal of dermatopathology	2020	42	9	15	4	Isales_Maria_Cristina; Beaubier_Nike; Taxter_Timothy_J; White_Kevin_P
32004563	Integrating Next-Generation Sequencing with Morphology Improves Prognostic and Biologic Classification of Spitz Neoplasms.	10.1016/j.jid.2019.12.031	The Journal of investigative dermatology	2020	140	8	12	3	Taxter_Timothy; Beaubier_Nike; White_Kevin
32108894	Tumor Mutational Burden From Tumor-Only Sequencing Compared With Germline Subtraction From Paired Tumor and Normal Specimens.	10.1001/jamanetworkopen.2020.0202	JAMA network open	2020	3	2	8	4	Huether_Robert; White_Kevin; Hoskinson_Derick; Beaubier_Nike
32393799	Prediction of mortality from 12-lead electrocardiogram voltage data using a deep neural network.	10.1038/s41591-020-0870-z	Nature medicine	2020	26	6	22	5	Stumpe_Martin_C; Hafez_Ashraf; Nemani_Arun; Carbonati_Tanner; Johnson_Kipp_W
32282793	DRAMS: A tool to detect and re-align mixed-up samples for integrative studies of multi-omics data.	10.1371/journal.pcbi.1007522	PLoS computational biology	2020	16	4	14	1	White_Kevin_P
32364535	Genomic and epigenomic EBF1 alterations modulate TERT expression in gastric cancer.	10.1172/JCI126726	The Journal of clinical investigation	2020	130	6	46	1	White_Kevin
32383249	Clinical validity of expanded carrier screening: Evaluating the gene-disease relationship in more than 200 conditions.	10.1002/humu.24033	Human mutation	2020	41	8	10	1	Beauchamp_Kyle
33077832	Automated microfluidic platform for dynamic and combinatorial drug screening of tumor organoids.	10.1038/s41467-020-19058-4	Nature communications	2020	11	1	10	1	White_Kevin_P
32526042	Molecular analysis of atypical deep penetrating nevus progressing to melanoma.	10.1111/cup.13775	Journal of cutaneous pathology	2020	47	12	8	1	Beaubier_Nike
32728046	An integrative ENCODE resource for cancer genomics.	10.1038/s41467-020-14743-w	Nature communications	2020	11	1	58	1	White_Kevin_P
32728249	Expanded encyclopaedias of DNA elements in the human and mouse genomes.	10.1038/s41586-020-2493-4	Nature	2020	583	7818	63	1	White_Kevin_P
33205120	Identification of Intrinsic Drug Resistance and Its Biomarkers in High-Throughput Pharmacogenomic and CRISPR Screens.	10.1016/j.patter.2020.100065	Patterns (New York, N.Y.)	2020	1	5	10	1	Dry_Jonathan_R
33242405	Clonal Hematopoiesis Before, During, and After Human Spaceflight.	10.1016/j.celrep.2020.108458	Cell reports	2020	33	10	20	1	Hassane_Duane_C
33242416	Fundamental Biological Features of Spaceflight: Advancing the Field to Enable Deep-Space Exploration.	10.1016/j.cell.2020.10.050	Cell	2020	183	5	38	1	Hassane_Duane
33292397	STARRPeaker: uniform processing and accurate identification of STARR-seq active regions.	10.1186/s13059-020-02194-x	Genome biology	2020	21	1	11	5	Shi_Manman; Moran_Jennifer; Wall_Martha; Kyono_Yasuhiro; White_Kevin_P
32684305	Identification of Differential Tumor Subtypes of T1 Bladder Cancer.	10.1016/j.eururo.2020.06.048	European urology	2020	78	4	17	1	Taxter_Timothy_J
30864330	Integrating RNA expression and visual features for immune infiltrate prediction.		Pacific Symposium on Biocomputing. Pacific Symposium on Biocomputing	2019	24		6	1	Reiman_Derek
30171177	Human Organoids Share Structural and Genetic Features with Primary Pancreatic Adenocarcinoma Tumors.	10.1158/1541-7786.MCR-18-0531	Molecular cancer research : MCR	2019	17	1	20	3	Ugolkov_Andrey; Zhang_Yilin; White_Kevin_P
30475255	Distinct Genomic Patterns in Pigmented Epithelioid Melanocytoma: A Molecular and Histologic Analysis of 16 Cases.	10.1097/PAS.0000000000001195	The American journal of surgical pathology	2019	43	4	12	3	Beaubier_Nike; White_Kevin; Taxter_Timothy_J
30517658	Spinal Pleomorphic Xanthoastrocytoma With a QKI-RAF1 Fusion.	10.1093/jnen/nly112	Journal of neuropathology and experimental neurology	2019	78	1	8	1	Schwarzbach_Anna
30640733	Activating Structural Alterations in MAPK Genes Are Distinct Genetic Drivers in a Unique Subgroup Of Spitzoid Neoplasms.	10.1097/PAS.0000000000001213	The American journal of surgical pathology	2019	43	4	10	3	Taxter_Timothy_J; Beaubier_Nike; White_Kevin
30643118	Author Correction: Characterization of Nigerian breast cancer reveals prevalent homologous recombination deficiency and aggressive molecular features.	10.1038/s41467-018-07886-4	Nature communications	2019	10	1	54	1	White_Kevin_P
30692535	Author Correction: Pan-cancer analysis of homozygous deletions in primary tumours uncovers rare tumour suppressors.	10.1038/s41467-019-08512-7	Nature communications	2019	10	1	18	1	White_Kevin_P
30696619	Tumor mutational burden and other predictive immunotherapy markers in histiocytic neoplasms.	10.1182/blood-2018-12-893917	Blood	2019	133	14	13	2	Lau_Denise; Nagle_Alison_M
30898262	RNA Sequencing of the Tumor Microenvironment in Precision Cancer Immunotherapy.	10.1016/j.trecan.2019.02.006	Trends in cancer	2019	5	3	3	3	Lau_Denise; Bobe_Alexandria_M; Khan_Aly_A
31034050	Genome-Wide Analysis of Glioblastoma Patients with Unexpectedly Long Survival.	10.1093/jnen/nlz025	Journal of neuropathology and experimental neurology	2019	78	6	16	1	Taxter_Timothy
31040929	Clinical validation of the tempus xT next-generation targeted oncology sequencing assay.	10.18632/oncotarget.26797	Oncotarget	2019	10	24	22	22	Beaubier_Nike; Tell_Robert; Lau_Denise; Parsons_Jerod_R; Bush_Stephen; Perera_Jason; Sorrells_Shelly; Baker_Timothy; Chang_Alan; Michuda_Jackson; Iguartua_Catherine; MacNeil_Shelley; Shah_Kaanan; Ellis_Philip; Yeatts_Kimberly; Mahon_Brett; Taxter_Timothy; Bontrager_Martin; Khan_Aly; Huether_Robert; Lefkofsky_Eric; White_Kevin_P
31162949	Clinical Relevance of Noncoding Adenosine-to-Inosine RNA Editing in Multiple Human Cancers.	10.1200/CCI.18.00151	JCO clinical cancer informatics	2019	3		4	1	White_Kevin_P
31173346	Germline variants and somatic mutation signatures of breast cancer across populations of African and European ancestry in the US and Nigeria.	10.1002/ijc.32498	International journal of cancer	2019	145	12	22	1	White_Kevin_P
31306728	Distinct Genomic Features in a Retrospective Cohort of Mucosal, Acral and Vulvovaginal Melanomas.	10.1016/j.jaad.2019.07.017	Journal of the American Academy of Dermatology	2019			14	4	Igartua_Catherine; Beaubier_Nike; Taxter_Timothy_J; White_Kevin_P
31406351	An augmented reality microscope with real-time artificial intelligence integration for cancer diagnosis.	10.1038/s41591-019-0539-7	Nature medicine	2019	25	9	12	1	Stumpe_Martin_C
31523482	Multi-Field-of-View Deep Learning Model Predicts Nonsmall Cell Lung Cancer Programmed Death-Ligand 1 Status from Whole-Slide Hematoxylin and Eosin Images.	10.4103/jpi.jpi_24_19	Journal of pathology informatics	2019	10		10	10	Sha_Lingdao; Osinski_Boleslaw_L; Ho_Irvin_Y; Tan_Timothy_L; Willis_Caleb; Weiss_Hannah; Beaubier_Nike; Mahon_Brett_M; Taxter_Tim_J; Yip_Stephen_S_F
31570899	Integrated genomic profiling expands clinical options for patients with cancer.	10.1038/s41587-019-0259-z	Nature biotechnology	2019	37	11	22	22	Beaubier_Nike; Bontrager_Martin; Huether_Robert; Igartua_Catherine; Lau_Denise; Tell_Robert; Bobe_Alexandria_M; Bush_Stephen; Chang_Alan_L; Hoskinson_Derick_C; Khan_Aly_A; Kudalkar_Emily; Leibowitz_Benjamin_D; Lozachmeur_Ariane; Michuda_Jackson; Parsons_Jerod; Perera_Jason_F; Salahudeen_Ameen; Shah_Kaanan_P; Taxter_Timothy; Zhu_Wei; White_Kevin_P
30128536	Association of Breast and Ovarian Cancers With Predisposition Genes Identified by Large-Scale Sequencing.	10.1001/jamaoncol.2018.2956	JAMA oncology	2019	5	1	17	1	Huether_Robert
29899824	Clinical validation of the Tempus xO assay.	10.18632/oncotarget.25381	Oncotarget	2018	9	40	28	22	Beaubier_Nike; Tell_Robert; Huether_Robert; Bontrager_Martin; Bush_Stephen; Parsons_Jerod; Shah_Kaanan; Baker_Tim; Selkov_Gene; Taxter_Tim; Thomas_Amber; Bettis_Sam; Khan_Aly; Lau_Denise; Lee_Christina; Barber_Matthew; Frankenberger_Casey; Franzen_Amy; Weiner_Ali; Palmer_Gary; Lefkofsky_Eric; White_Kevin_P
29279606	Nuclear receptors in cancer - uncovering new and evolving roles through genomic analysis.	10.1038/nrg.2017.102	Nature reviews. Genetics	2018	19	3	3	1	White_Kevin_P
31544169	Prolonged Partial Response to Bevacizumab and Valproic Acid in a Patient With Glioblastoma.	10.1200/PO.18.00282	JCO precision oncology	2018	2		4	1	Palmer_Gary
29662209	Dynamic coupling between conformations and nucleotide states in DNA gyrase.	10.1038/s41589-018-0037-0	Nature chemical biology	2018	14	6	7	1	Fernandes_Louis_E
29728604	Integrated molecular subtyping defines a curable oligometastatic state in colorectal liver metastasis.	10.1038/s41467-018-04278-6	Nature communications	2018	9	1	25	1	White_Kevin_P
29794873	Genomic Fusions in Pigmented Spindle Cell Nevus of Reed.	10.1097/PAS.0000000000001074	The American journal of surgical pathology	2018	42	8	12	4	Igartua_Catherine; Taxter_Timothy; Beaubier_Nike; White_Kevin
30545965	The <i>DGCR5</i> long noncoding RNA may regulate expression of several schizophrenia-related genes.	10.1126/scitranslmed.aat6912	Science translational medicine	2018	10	472	17	1	White_Kevin_P
29943666	Recurrent Glioblastoma Treated with Recombinant Poliovirus.	10.1056/NEJMoa1716435	The New England journal of medicine	2018	379	2	18	18	Desjardins_Annick; Gromeier_Matthias; Herndon_James_E; Beaubier_Nike; Bolognesi_Dani_P; Friedman_Allan_H; Friedman_Henry_S; McSherry_Frances; Muscat_Andrea_M; Nair_Smita; Peters_Katherine_B; Randazzo_Dina; Sampson_John_H; Vlahovic_Gordana; Harrison_William_T; McLendon_Roger_E; Ashley_David; Bigner_Darell_D
30311380	Gene-specific criteria for PTEN variant curation: Recommendations from the ClinGen PTEN Expert Panel.	10.1002/humu.23636	Human mutation	2018	39	11	17	1	Huether_Robert
30327465	Characterization of Nigerian breast cancer reveals prevalent homologous recombination deficiency and aggressive molecular features.	10.1038/s41467-018-06616-0	Nature communications	2018	9	1	54	1	White_Kevin_P
30425251	Author Correction: Integrated molecular subtyping defines a curable oligometastatic state in colorectal liver metastasis.	10.1038/s41467-018-07303-w	Nature communications	2018	9	1	25	1	White_Kevin_P
30545964	The transcription factor POU3F2 regulates a gene coexpression network in brain tissue from patients with psychiatric disorders.	10.1126/scitranslmed.aat8178	Science translational medicine	2018	10	472	27	1	White_Kevin_P
30559362	Author Correction: Pan-cancer analysis of homozygous deletions in primary tumours uncovers rare tumour suppressors.	10.1038/s41467-018-07842-2	Nature communications	2018	9	1	18	1	White_Kevin_P
29151363	Functional assessment of human enhancer activities using whole-genome STARR-sequencing.	10.1186/s13059-017-1345-5	Genome biology	2017	18	1	6	1	White_Kevin_P
29089486	Pan-cancer analysis of homozygous deletions in primary tumours uncovers rare tumour suppressors.	10.1038/s41467-017-01355-0	Nature communications	2017	8	1	18	1	White_Kevin_P
29061142	Systematic identification of regulatory variants associated with cancer risk.	10.1186/s13059-017-1322-z	Genome biology	2017	18	1	9	1	White_Kevin_P
28263985	Robust stratification of breast cancer subtypes using differential patterns of transcript isoform expression.	10.1371/journal.pgen.1006589	PLoS genetics	2017	13	3	9	1	White_Kevin_P
28052920	Evolution of transcript modification by <i>N</i><sup>6</sup>-methyladenosine in primates.	10.1101/gr.212563.116	Genome research	2017	27	3	8	1	White_Kevin_P
27931250	Tracing the origin of disseminated tumor cells in breast cancer using single-cell sequencing.		Genome biology	2016	17	1	20	1	White_Kevin_P
27614579	A novel high-throughput multi-parameter flow cytometry based method for monitoring and rapid characterization of microbiome dynamics in anaerobic systems.	10.1016/j.biortech.2016.08.076	Bioresource technology	2016	220		6	1	Dolatowski_William
