PMID	Title	DOI	Journal	Year	Volume	Issue	Total_author_count	Affiliated_author_count	Affiliated_author_names
29662209	Dynamic coupling between conformations and nucleotide states in DNA gyrase.	10.1038/s41589-018-0037-0	Nature chemical biology	2018	14.0	6.0	7	1	Fernandes_Louis_E
29728604	Integrated molecular subtyping defines a curable oligometastatic state in colorectal liver metastasis.	10.1038/s41467-018-04278-6	Nature communications	2018	9.0	1.0	25	1	White_Kevin_P
30545964	The transcription factor POU3F2 regulates a gene coexpression network in brain tissue from patients with psychiatric disorders.	10.1126/scitranslmed.aat8178	Science translational medicine	2018	10.0	472.0	27	1	White_Kevin_P
30327465	Characterization of Nigerian breast cancer reveals prevalent homologous recombination deficiency and aggressive molecular features.	10.1038/s41467-018-06616-0	Nature communications	2018	9.0	1.0	54	1	White_Kevin_P
30545965	The <i>DGCR5</i> long noncoding RNA may regulate expression of several schizophrenia-related genes.	10.1126/scitranslmed.aat6912	Science translational medicine	2018	10.0	472.0	17	1	White_Kevin_P
29151363	Functional assessment of human enhancer activities using whole-genome STARR-sequencing.	10.1186/s13059-017-1345-5	Genome biology	2017	18.0	1.0	6	1	White_Kevin_P
29089486	Pan-cancer analysis of homozygous deletions in primary tumours uncovers rare tumour suppressors.	10.1038/s41467-017-01355-0	Nature communications	2017	8.0	1.0	18	1	White_Kevin_P
29061142	Systematic identification of regulatory variants associated with cancer risk.	10.1186/s13059-017-1322-z	Genome biology	2017	18.0	1.0	9	1	White_Kevin_P
28263985	Robust stratification of breast cancer subtypes using differential patterns of transcript isoform expression.	10.1371/journal.pgen.1006589	PLoS genetics	2017	13.0	3.0	9	1	White_Kevin_P
28052920	Evolution of transcript modification by <i>N</i><sup>6</sup>-methyladenosine in primates.	10.1101/gr.212563.116	Genome research	2017	27.0	3.0	8	1	White_Kevin_P
27931250	Tracing the origin of disseminated tumor cells in breast cancer using single-cell sequencing.		Genome biology	2016	17.0	1.0	20	1	White_Kevin_P
27614579	A novel high-throughput multi-parameter flow cytometry based method for monitoring and rapid characterization of microbiome dynamics in anaerobic systems.	10.1016/j.biortech.2016.08.076	Bioresource technology	2016	220.0		6	1	Dolatowski_William
