Disclosure: Status 			Disclosure: What			Disclosure: Who							Disclosure: Where and When							Disclosure: Additional Info									
Publication Stage	Manuscript Pipeline	IP/Legal	Origin (internal vs. external)	Title/Topic/Link	Publication Type	Tempus Lead(s)	SciComm Lead / Point Person	Tempus Authors	PI / Corresponding Author	External Collaborator (PI and Institution)	Exec. Sponsor / Department Head	Key BU Stakeholder Publication Supports	Journal / Conference	Date of Target Submission (Yr, Quarter, Date)	Date Actual Submission Occurred (Yr, Quarter, Date)	Date of Most Recent Resubmission (Yr, Quarter)	Date of Publication (Date)	Year Quarter of Publication	Year Quarter of Publication	Cancer Type	CLQ data usage	Utilized LENS	IRB	IRB Protocol No.	DOI	PMID	Published Info Uploaded to Website	Notes	
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus authorship)	Very low mutation burden is a feature of inflamed recurrent glioblastomas responsive to cancer immunotherapy	manuscript	Nike Beaubier / Immuno Team			David Ashley - Duke	David Ashley - Duke University	Kevin White	Clinical Commercial	Nature Communications				1/13/21		2021 Q1	Other	No CLQ data included	No LENS usage 	No IRB Required		10.1038/s41467-020-20469-6	33441554	Yes	From google scholar alert	
Stage 7: Published	Foundational Capabilities	Yes - IP protected in previously filed patent	Tempus led	Integrated Genomic Profiling Expands Clinical Options for Cancer Patients (xT 500)	manuscript	Kevin White, Alex Bobe			Kevin White	N/A	Kevin White	Clinical/Pharma Commercial	Nature Biotechnology	2019 Q2  5/27/19	2019 Q4  12/3/19		9/30/19		2019 Q3	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required		10.1038/s41587-019-0259-z	31570899	Yes	T19.01 Vivli Repo	
Stage 7: Published	Topic / Project-specific	Yes - IP protected in previously filed patent	Tempus led	HRD clinical assay white paper	white paper	Aarti Venkat, Joshua Bell			N/A	N/A	Nike Beubier	Clinical/Pharma Commercial	N/A	N/A	N/A		06/06/20		2020 Q2	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required				Not Applicable		
Stage 7: Published	Foundational Capabilities	Unknown	Tempus led	TIME / Rapid Site Activation	white paper	Michael Axelson			N/A	N/A	Michael Axelson	Therapy Solutions	N/A	N/A	N/A		5/29/20		2020 Q2	N/A	No CLQ data included	No LENS usage 	No IRB Required				Not Applicable		
Stage 7: Published	Topic / Project-specific	Unknown	Tempus led	Pharmacogenomic Testing vs. Traditional Genetic Testing: How are they different?	white paper	Lisa Brown / Matthew Kase / Megan Dubinsky	Matthew Kase		N/A	N/A	Kim Blackwell	Clinical Commercial	N/A	N/A	N/A		2020 Q4		2020 Q4	N/A	No CLQ data included	No LENS usage 	No IRB Required				Not Applicable		
Stage 7: Published	Topic / Project-specific	Unknown	Tempus led	MTHFR in Psychiatry	white paper	Lisa Brown / Matthew Kase / Megan Dubinsky	Matthew Kase		N/A	N/A	Kim Blackwell	Clinical Commercial	N/A	N/A	N/A		2021 Q1		2021 Q1	N/A	No CLQ data included	No LENS usage 	No IRB Required				Not Applicable		
Stage 7: Published	Foundational Capabilities	Yes - IP not covered by patent, but publication will be filed as a provisional	Tempus led	Real-world Evidence of Diagnostic Testing and Treatment Patterns in U.S. Breast Cancer Patients with Implications for Treatment Biomarkers from RNA-sequencing Data (v2, Pre-print)	manuscript	Louis Fernandes, Carrie Epstein, Josh SK Bell, Gary Palmer, Alex Bobe			Gary Palmer	Mark Pegram - Standford, Joyce O'Shaughnessy - Texas Oncology, Sarah Sammons - Duke Cancer Center	Gary Palmer	Clinical/Pharma Commercial	medRxiv	2020 Q3  8/1/20	2020 Q3 8/07/20		8/11/20		2020 Q3	 Breast cancer	CLQ data included	No LENS usage 	Covered under IRB Protocol - Waiver of consent & Exemption	Pro00039354	10.1016/j.clbc.2020.11.012	33446413	Yes	Preprint 	
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus authorship)	(Preprint) Early introductions and transmission of SARS-CoV-2 variant B.1.1.7 in the United States	manuscript	Matthew MacKay, Gaurav Khullar, Jessica Metti, Joel Dudley, Megan Nash, Christopher Mason	Matthew Kase		Nathan D. Grubaugh	Nathan D. Grubaugh - Yale	Joel Dudley	Clinical Commercial	MedRxiv		2021 Q2		2/12/21		2021 Q1	N/A	No CLQ data included	No LENS usage 	No IRB Required		10.1101/2021.02.10.21251540	33594373	Yes	Preprint of a manuscript submitted to Cell. Initially uploaded to the website but removed upon publication in Cell. 	
Stage 7: Published	Topic / Project-specific	Not Applicable	Collaborator led (Tempus authorship)	Digital Medicine Measurement	manuscript	Noah Zimmerman				N/A	Martin Stumpe	R&D/Other	Karger (publisher)				04/27/20		2020 Q2	N/A	No CLQ data included	No LENS usage 	No IRB Required		10.1159/isbn.978-3-318-06708-8		Not Applicable	This is not necessarily an academic publication, looks like a long white paper or "book"?	
Stage 7: Published	Topic / Project-specific	Yes - IP protected in previously filed patent	Tempus led	Multi-field-of-view deep learning model predicts non-small cell lung cancer programmed death ligand-1 status from whole slide hematoxylin and eosin images	manuscript	Stephen Yip			Stephen Yip	N/A	Kevin White	R&D/Other	Journal of Pathology Informatics	2019 Q1  3/15/19	2019 Q1  3/26/19	5/28/19	7/23/19		2019 Q3	 Non-small cell lung cancer	No CLQ data included	No LENS usage 	No IRB Required		10.4103/jpi.jpi_24_19	31523482	Yes	Rejected from CCR, submitted to JPI	
Stage 7: Published	External Research: Other	Unknown	Collaborator led (Tempus authorship)	Spinal Pleomorphic Xanthoastrocytoma with a QKI-RAF1 Fusion	manuscript	Anna Schwarzbach			Kimo J Hatanpaa	Elena Dauod - UTSW	Gary Palmer	Clinical Commercial	Journal of Neuropathology and Experimental Neurology				11/5/18		2018 Q4	Other	No CLQ data included	No LENS usage 	No IRB Required		10.1093/jnen/nly112	30517658	Yes	medical affairs in collaboration with the Neuropathology Dept at UT Southwestern	
Stage 7: Published	External Research: Other	Unknown	Collaborator led (Tempus authorship)	Integrating Next Generation Sequencing with Morphology Improves Prognostic and Biologic Classification of Spitz Neoplasms	manuscript	Megan Pelino (POp)			Pedram Gerami	Gerami - Northwestern		Clinical Commercial	Journal of Infectious Diseases				1/29/20		2019 Q1	Other	No CLQ data included	No LENS usage 	No IRB Required		10.1016/j.jid.2019.12.031	32004563	Yes	Requested info on depositing data to public repository	
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus authorship)	Molecular Analysis of Atypical Deep Penetrating Nevus Progressing to Melanoma	manuscript	Nike Beaubier			Pedram Gerami	Gerami - Northwestern	Nike Beaubier	Clinical Commercial	Journal of Cutaneous Pathology				6/11/20		2020 Q2	 Melanoma	No CLQ data included	No LENS usage 	No IRB Required		10.1111/cup.13775	32526042	Yes		
Stage 7: Published	External Research: KOL Development	Unknown	Collaborator led (Tempus authorship)	Multimodal profiling of biliary tract cancers to detect potentially actionable biomarkers and differences in immune signatures between subtypes	abstract	Sherif El-Refai / Denise Lau	pp: Matthew Kase	Denise Lau Sherif El-Refai Others TBD	Kabir Mody	Kabir Mody - Mayo Clinic Florida	Ania Schwarzbach	Clinical/Pharma Commercial	Journal of Clinical Oncology / ASCO 2021	2021 Q1 2/17/21	2021 Q1 2/17/21		5/19/21		2021 Q2	 Biliary tract cancer	No CLQ data included	No LENS usage 	No IRB Required				Yes	Accepted for poster presentation; Abstract Number for Publication: 4023	
Stage 7: Published	External Research: Other	Unknown	Collaborator led (Tempus authorship)	Comprehensive Genomic Profiling in Advanced/Metastatic Colorectal Cancer: Number Needed to Test and Budget Impact of Expanded First-Line Use	abstract	Suzanne Belinson, Mina Allo	Matthew Kase	Suzanne Belinson, Mina Allo	Anuj Patel	Anuj Patel - Dana Farber	Kim Blackwell	Clinical Commercial	Journal of Clinical Oncology / ASCO 2021	2021 Q1 2/17/21	2021 Q1 2/17/21		5/19/21		2021 Q2	 Colorectal cancer	No CLQ data included	No LENS usage 	No IRB Required				Yes	Accepted for online publication only	
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus authorship)	Primary Pancreatic Adenocarcinoma (PPDA) and Metastatic Pancreatic Adenocarcinoma (MPDA): Are they Genomically Distinct?	abstract	Jonathon Freaney	pp: Matthew Kase	Jonathan Freaney	Gazala Khan	Gazala Khan - Henry Ford Health System	Kim Blackwell	Clinical Commercial	Journal of Clinical Oncology / ASCO 2021	2021 Q1 2/17/21	2021 Q1 2/17/21		5/19/21		2021 Q2	 Pancreatic cancer	No CLQ data included	No LENS usage 	No IRB Required				Yes		
Stage 7: Published	Topic / Project-specific	Unknown	Tempus led	The TIME Trial Network to facilitate rapid clinical trial activation, patient screening, and enrollment in molecularly targeted trials.	abstract	Stephanie O'Leary; Matthew Cooney	Namratha Sastry		Matthew Cooney	Vicor Priego - Center for Cancer and Blood Disorders Maryland, Minal Barve - MCCR, Raju Vaddepally and Angela Saverimuthu - Yuma Regional Medical Center, Ian C. Anderson - St. Joes Santa Rosa, David Oubre - Pontchartrain, Francis Senecal - Northwest Medical Specialties	Kim Blackwell; Amy Franzen	Therapy Solutions	Journal of Clinical Oncology / ASCO 2021	2021 Q1 2/17/21	2021 Q1 2/17/21		5/19/21		2021 Q2	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required				Yes	Accepted for poster presentation; Abstract Number for Publication: 1563	
Stage 7: Published	Topic / Project-specific	Unknown	Tempus led	Leveraging Machine Learning Technology to Efficiently Identify and Match Patients for Precision Oncology Clinical Trials	abstract	Laura Sache; Matthew Cooney	Namratha Sastry		Matthew Cooney	N/A	Kim Blackwell; Amy Franzen	Therapy Solutions	Journal of Clinical Oncology / ASCO 2021	2021 Q1 2/17/21	2021 Q1 2/17/21		5/19/21		2021 Q2	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required				Yes	Accepted for online publication only; Abstract Number for Publication: e13588	
Stage 7: Published	Topic / Project-specific	Unknown	Tempus led	A Review of Evidence Supporting NCCN Category 2B Off-Label Recommendations for Determination of Medicare Reimbursement Eligibility.	abstract	Molly DiScala, Ken Carson	Matthew Kase			N/A	Kim Blackwell	Clinical Commercial	Journal of Clinical Oncology / ASCO 2021	2021 Q1 2/17/21	2021 Q1 2/17/21		5/19/21		2021 Q2	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required				Yes	Accepted for poster presentation; Abstract Number for Publication: 6576	
Stage 7: Published	External Research: Other	Unknown	Tempus led	Comprehensive Genomic Profiling of Pediatric Malignancies using the Tempus xT DNA and RNA-based Next-Generation Sequencing Assay Identifies Clinically Meaningful Alterations	abstract	Kristiyana Kaneva	Matthew Kase		Anna Schwarzbach	Stephanie Toll - Children's Hospital of Michigan, Stefanie Thomas - Cleveland Clinic Children's	Kim Blackwell	Clinical Commercial	Journal of Clinical Oncology / ASCO 2021	2021 Q1 2/17/21	2021 Q1 2/17/21		5/19/21		2021 Q2	Multiple cancer types	No CLQ data included	LENS cohort selection & partial analysis	No IRB Required				Yes	LENS analysis conducted by MA ; Accepted for online publication only 	
Stage 7: Published	External Research: Other	Unknown	Tempus led	Rate of incidental germline findings detected during NGS testing of pts with advanced cancer types that do not have universal germline testing recommendations	abstract	Arya Ashok, Jessica Stoll	Namratha Sastry	Arya Ashok, Jessica Stoll, Jeff Schaeffer, Kim Blackwell	Timothy Yap and Funda Meric-Bernstam - MD Anderson, Tianhong Li - UC Davis, Hyunseok Kang - UCSF, Judy E Garber - Dana Farber	Timothy Yap and Funda Meric-Bernstam - MD Anderson, Tianhong Li - UC Davis, Hyunseok Kang - UCSF, Judy E Garber - Dana Farber	Kim Blackwell	Clinical Commercial	Journal of Clinical Oncology / ASCO 2021	2021 Q1 2/17/21	2021 Q1 2/17/21		5/19/21		2021 Q2	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required				Yes	Accepted for poster presentation	
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus authorship)	Initiative for Molecular Profiling and Advanced Cancer Therapy (IMPACT2): Challenges and Opportunities in Conducting an MD Anderson Randomized Study in Precision Oncology.	abstract	Gary Palmer	-		Apostolia M. Tsimberidou	Apostolia M. Tsimberidou - MD Anderson		Clinical Commercial	Journal of Clinical Oncology / ASCO 2021	2021 Q1 2/17/21	2021 Q1 2/17/21		5/19/21		2021 Q2	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required				No	Found from searching for Tempus affiliation	
Stage 7: Published	External Research: KOL Development	Unknown	Collaborator led (Tempus authorship)	 Landscape of KRASG12C, associated genomic alterations, and interrelation with immuno-oncology (IO) biomarkers.	abstract	Sherif El-Refai	pp: Namratha Sastry	Sherif El-Refai	Mohamed Salem	Mohamed Salem - LCI	Ania Schwarzbach	Clinical/Pharma Commercial	Journal of Clinical Oncology / ASCO 2021	2021 Q1 2/17/21	2021 Q1 2/17/21		5/19/21		2021 Q2	Multiple cancer types	No CLQ data included	LENS cohort selection & complete analysis	No IRB Required				Yes	Accepted for poster presentation; Abstract Number for Publication: 3127	
Stage 7: Published	Topic / Project-specific	Unknown	Tempus led	Towards cancer mega-cohorts: A novel homogenization algorithm applied to diverse breast cancer RNA-Seq datasets.	abstract	Stephane Wenric, Talal Ahmed			Rafi Pelossof	N/A	Martin Stumpe	R&D/Other	Journal of Clinical Oncology / ASCO 2020	2020 Q1  2/11/20	2020 Q1  2/11/20		5/13/20		2020 Q2	 Breast cancer	No CLQ data included	No LENS usage 	No IRB Required				Yes	Originally denied by legal and was resubmitted with non-tempus data. Abstract ID is 295999	
Stage 7: Published	Topic / Project-specific	Contacted - Pending Decision	Tempus led	Learning Relevant H&E Slide Morphologies for Prediction of Colorectal Cancer Tumor Mutation Burden using Weakly Supervised Deep Learning.	abstract	Rohan Joshi			Martin Stumpe	N/A	Martin Stumpe	Clinical Commercial	Journal of Clinical Oncology / ASCO 2020	2020 Q1  2/11/20	2020 Q1  2/11/20		5/13/20		2020 Q2	 Colorectal cancer	No CLQ data included	No LENS usage 	No IRB Required				Yes		
Stage 7: Published	Topic / Project-specific	Unknown	Tempus led	H&E Image-based Consensus Molecular Subtypes Classification of Colorectal Cancer Using Weak Labeling	abstract	Andrew Kruger			Martin Stumpe	N/A	Martin Stumpe	Clinical Commercial	Journal of Clinical Oncology / ASCO 2020	2020 Q1  2/11/20	2020 Q1  2/11/20		5/13/20		2020 Q2	 Colorectal cancer	No CLQ data included	No LENS usage 	No IRB Required				Yes		
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus authorship)	Trends in immunotherapy use in patients with advanced non-small cell lung cancer (aNSCLC) patients: Analysis of real-world data.	abstract	Ruth Pe Benito			Jeff Allen	Friends of Cancer Research	Kevin White	Clinical Commercial	Journal of Clinical Oncology / ASCO 2020	2020 Q1 2/11/20 	2020 Q1  2/11/20		5/13/20		2020 Q2	 Non-small cell lung cancer	CLQ data included	No LENS usage 	No IRB Required				Yes		
