Disclosure: Status 			Disclosure: What			Disclosure: Who							Disclosure: Where and When						Disclosure: Additional Info											
Publication Stage	Manuscript Pipeline	IP/Legal	Origin (internal vs. external)	Title/Topic/Link	Publication Type	Tempus Lead(s)	SciComm Lead / Point Person	Tempus Authors	PI / Corresponding Author	External Collaborator (PI and Institution)	Exec. Sponsor / Department Head	Key BU Stakeholder Publication Supports	Journal / Conference	Date of Target Submission (Yr, Quarter, Date)	Date Actual Submission Occurred (Yr, Quarter, Date)	Date of Most Recent Resubmission (Yr, Quarter)	Date of Publication (Date)	Year Quarter of Publication	Cancer Type	CLQ data usage	LENS Usage	IRB	IRB Protocol No.	DOI	PMID	Published Info Uploaded to Website	Notes	Abstract Disclosure Type	Main Org Work Derived From	Disease Area
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus authorship)	Distinct Genomic Patterns in Pigmented Epithelioid Melanocytoma: A Molecular and Histologic Analysis of 16 Cases	manuscript	TJ Taxter, Kevin White, Nike Beaubier	N/A	Timothy Taxter, Nike Beaubier, Kevin White	Pedram Gerami	Gerami - Northwestern	Kevin White	Clinical Commercial	The American Journal of Surgical Pathology		N/A		4/1/19	2019 Q2	Skin cancers	No CLQ data included	No LENS usage 	No IRB Required		10.1097/PAS.0000000000001195	30475255	Yes		N/A	Medical Science	Oncology
Stage 7: Published	Topic / Project-specific	Yes - IP protected in previously filed patent	Collaborator led (Tempus authorship)	Analysis of advanced quantitative computed tomography imaging features in predicting progression free survival of advanced epithelial ovarian cancer	abstract	Abhishek Pandey	N/A	Abhishek Pandey, Jacob Gordon, Jonathon Ball	Paul DiSilvestro	DiSilvestro - Brown	Martin Stumpe	Clinical/Pharma Commercial	Society of Gynecologic Oncology (SGO) 2020		2019 Q3  9/15/19		3/29/20	2020 Q1	 Ovarian cancer	No CLQ data included	No LENS usage 	No IRB Required		N/A	N/A	Yes		poster	R&D	Oncology
Stage 7: Published	Topic / Project-specific	Yes - IP protected in previously filed patent	Collaborator led (Tempus acknowledged or services used)	Predicting Chemosensitivity in Epithelial Ovarian Cancer Using Patient-Derived Tumor Organoids	abstract	Ameen Salahudeen	N/A	N/A	Jill M. Kolesar	Justin Gorski - University of Kentucky	Kevin White	R&D/Other	Society of Gynecologic Oncology (SGO) 2020		2019 Q3  9/15/19		3/29/20	2020 Q1	 Ovarian cancer	No CLQ data included	No LENS usage 	No IRB Required		https://doi.org/10.1016/j.ygyno.2020.05.225	N/A	Yes		poster	R&D	Oncology
Stage 7: Published	Topic / Project-specific	Yes - IP protected in previously filed patent	Tempus led	Microsatellite instability detection with cell-free DNA next-generation sequencing	abstract	Ariane Lozac’hmeur	N/A	Ariane Lozac’hmeur, Jason Perera, Denise Lau, Aly Khan	Aly Khan	N/A	Kevin White	Clinical/Pharma Commercial	SITC 2019	2019 Q3  8/1/19	2019 Q3		11/5/19	2019 Q4	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required		N/A	N/A	Yes		poster	R&D	Oncology
Stage 7: Published	Topic / Project-specific	Yes - IP protected in previously filed patent	Tempus led	Detection of human leukocyte antigen class I loss of heterozygosity in solid tumor types by next-generation DNA sequencing	abstract	Jason Perera	N/A	Jason Perera, Brandom Mapes, Denise Lau, Aly Khan, Ameen Salahudeen	Aly Khan	N/A	Kevin White	Clinical/Pharma Commercial	SITC 2019	2019 Q3  8/1/19	2019 Q3		11/5/19	2019 Q4	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required		N/A	N/A	Yes		poster	R&D	Oncology
Stage 7: Published	External Research: KOL Development	Unknown	Collaborator led (Tempus authorship)	Concordance and use patterns of tissue and cell-free based genomic testing in metastatic breast cancer	abstract	Jeff Schaeffer, Aneta Piwowarczyk	Kelly McKinnon	Jeff Schaeffer, Aneta Piwowarczyk, Kim Blackwell	Ben Ho Park - Vanderbilt	Ben Ho Park - Vanderbilt, Minetta Liu - Mayo Clinic	Kim Blackwell	Clinical Commercial	Cancer Research / SABCS 2020	2020 Q3	2020 Q3		12/4/20	2020 Q4	 Breast cancer	No CLQ data included	LENS cohort selection & partial analysis	No IRB Required		10.1158/1538-7445.SABCS20-PD9-12	N/A	Yes	abstract #1768; Spotlight Poster-Discussion Session presentation	poster and oral	Medical Affairs	Oncology
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus authorship)	Unstable mutational profile and heterogeneity of residual breast tumors following neoadjuvant therapy from comprehensive genomic and transcriptomic sequencing	abstract	Josh SK Bell	pp: Kelly McKinnon	Josh SK Bell, Nike Beaubier, Benjamin Leibowitz	Olopade	Olopade -  UChicago	Kevin White, Nike Beaubier	Clinical Commercial	Cancer Research / SABCS 2020	2020 Q3 7/7/20	2020 Q3 7/7/20		12/4/20	2020 Q4	 Breast cancer	No CLQ data included	No LENS usage 	No IRB Required		10.1158/1538-7445.SABCS20-PD7-06	N/A	Yes	Collab-led project that I don't think had MA involved; Added for visibility; not in ERRC spreadsheet	poster and oral	R&D	Oncology
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus authorship)	Comprehensive genomic and transcriptomic profiling of molecular subtypes reveal ancestral differences in the activity of signaling pathways between patients with African and European ancestry	abstract	Josh SK Bell	Kelly McKinnon	Josh SK Bell, Nike Beaubier, Benjamin Leibowitz	Olopade	Olopade -  UChicago	Kevin White, Nike Beaubier	Clinical/Pharma Commercial	Cancer Research / SABCS 2020	2020 Q3 7/7/20	2020 Q3 7/7/20		12/4/20	2020 Q4	 Breast cancer	No CLQ data included	No LENS usage 	Covered under IRB Protocol - Waiver of consent & Exemption		10.1158/1538-7445.SABCS20-SS1-04	N/A	Yes	Collab-led project that I don't think had MA involved; Added for visibility; not in ERRC spreadsheet	oral presentation	R&D	Oncology
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus acknowledged or services used)	Novel genomic variants and pathways associated with baseline serum thymidine kinase 1 levels in HR-positive HER2-negative MBC patients commencing palbociclib and letrozole	abstract		N/A	N/A	Matthew P Goetz	Goetz - Mayo Clinic	Kim Blackwell	Clinical Commercial	Cancer Research / SABCS 2020	2020 Q3	2020 Q3		12/4/20	2020 Q4	 Breast cancer	No CLQ data included	No LENS usage 	No IRB Required		10.1158/1538-7445.SABCS20-PS5-24	N/A	Yes		poster	Medical Affairs	Oncology
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus acknowledged or services used)	Next generation sequencing (NGS) in older adults with breast cancer using tissue-based and circulating tumor DNA (ctDNA) assays	abstract		N/A	N/A	Cynthia Ma	Cynthia Ma - Washington University	Kim Blackwell	Clinical Commercial	Cancer Research / SABCS 2020	2020 Q3	2020 Q3		12/4/20	2020 Q4	 Breast cancer	No CLQ data included	No LENS usage 	No IRB Required		10.1158/1538-7445.SABCS20-PS2-09	N/A	Yes		poster	Medical Affairs	Oncology
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus authorship)	Multiplex qPCR discriminates variants of concern to enhance global surveillance of SARS-CoV-2	manuscript	Matthew Mackay	N/A	Christopher E. Mason, Gaurav Khullar, Jessica Metti, Joel T. Dudley, Matthew J. MacKay, Megan Nash,	Nathan D. Grubaugh	Chantal Vogels - Yale	Joel Dudley	Clinical Commercial	PLOS Biology		2021 Q1		05/07/2021	2021 Q2	N/A	No CLQ data included	No LENS usage 	No IRB Required		10.1371/journal.pbio.3001236	33961632	Yes	Preprint here: https://www.medrxiv.org/content/10.1101/2021.01.28.21250486v2	N/A	R&D	Cardiology
Stage 7: Published	Topic / Project-specific	Unknown	Tempus led	Integrating RNA expression and visual features for immune infiltrate prediction	manuscript	Denise Lau, Aly Khan	N/A	Derek Reiman, Lingdao Sha, Irvin Ho, Denise Lau, and Aly A. Khan	Aly Khan	Timothy Tan - Northwestern University	Kevin White	Pharma Commercial	Pacific Symposium on Biocomputing / 2019 Pacific Symposium on Biocomputing Conference 		2018 Q3  8/6/18		1/3/19	2019 Q1	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required		10.1142/9789813279827_0026	30864330	Yes	oral presentation at PSB conference 2019;  poster presentation at AACR Miami 2018	N/A	R&D	Oncology
Stage 7: Published	Foundational Capabilities	Yes - IP protected in previously filed patent	Tempus led	Clinical validation of the Tempus xO assay	manuscript	Nike Beaubier, Bob Tell	N/A	Nike Beaubier, Robert Tell, Robert Huether, Martin Bontrager, Stephen Bush, Jerod Parsons, Kaanan Shah, Tim Baker, Gene Selkov, Tim Taxter, Amber Thomas, Sam Bettis, Aly Khan, Denise Lau, Christina Lee, Matthew Barber, Casey Frankenberger, Amy Franzen, Ali Weiner, Gary Palmer, Eric Lefkofsky, Kevin White	Kevin White	Marcin Cieslik, Robert Lonigro, Dan Robinson, Yi-Mi Wu, Xuhong Cao, Arul Chinnaiyan - University of Michigan	Nike Beaubier	Clinical/Pharma Commercial	Oncotarget		2017 Q3  8/2/17		5/25/18	2018 Q2	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required		10.18632/oncotarget.25381	29899824	Yes		N/A	Medical Science	Oncology
Stage 7: Published	Foundational Capabilities	Yes - IP protected in previously filed patent	Tempus led	Clinical Validation of the Tempus xT Next-Generation Targeted Oncology Sequencing Assay 	manuscript	Nike Beaubier, Alex Bobe	N/A	Nike Beaubier, Robert Tell, Robert Huether, Martin Bontrager, Stephen Bush, Jerod Parsons, Kaanan Shah, Tim Baker, Gene Selkov, Tim Taxter, Amber Thomas, Sam Bettis, Aly Khan, Denise Lau, Christina Lee, Matthew Barber, Casey Frankenberger, Amy Franzen, Ali Weiner, Gary Palmer, Eric Lefkofsky, Kevin White	Kevin White	N/A	Nike Beaubier	Clinical/Pharma Commercial	Oncotarget		2017 Q3 8/1/2017	2019 Q1 	3/22/19	2019 Q1	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required		10.18632/oncotarget.26797	31040929	Yes		N/A	Medical Science	Oncology
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus acknowledged or services used)	Mutations of the MAPK/TSC/mTOR pathway characterize periventricular glioblastoma with epithelioid SEGA-like morphology–morphological and therapeutic implications	manuscript	Mike Caldwell 	N/A	N/A	Gregory Fuller	MM Georgescu - LSU Shreveport		Clinical Commercial	Oncotarget		2019 Q3 5/13/19		6/18/19	2019 Q2	Other	No CLQ data included	No LENS usage 	No IRB Required		10.18632/oncotarget.27005	31258848	Yes	Acknowledge Jonathan Ball and Hannah Silverman	N/A	Medical Affairs	Oncology
Stage 7: Published	Foundational Capabilities	Yes - IP protected in previously filed patent	Tempus led	Validation of a liquid biopsy assay with molecular and clinical profiling of circulating tumor DNA	manuscript	Nike Beaubier, Bob Tell	Matthew Kase	Justin D. Finkle, Hala Boulos, Terri M. Driessen, Christine Lo, Richard A. Blidner, Ashraf Hafez, Aly A. Khan, Ariane Lozac’hmeur, Kelly E. McKinnon, Jason Perera, Wei Zhu, Kevin P. White, Robert Tell, and Nike Beaubier	Nike Beaubier	Afshin Dowlati - UH Cleveland Medical Center	Nike Beaubier	Clinical/Pharma Commercial	npj Precision Oncology	2020 Q1 3/31/20	2020 Q2 4/7/20	2021 Q1  	07/06/21	2021 Q3	Multiple cancer types	No CLQ data included	No LENS usage 	Covered under IRB Protocol - Exemption	Pro00041304	https://doi.org/10.1038/s41698-021-00202-2	34215841	Yes	T20.01 Vivli Repo	N/A	Medical Science	Oncology
Stage 7: Published	Topic / Project-specific	Unknown	Tempus led	Longitudinal and multi-tissue molecular diagnostics track somatic BRCA2 reversion mutations that correct the open reading frame of a germline alteration after clinical relapse (BRCA2 case study v2)	manuscript	Shelly Sorrells	Kelly McKinnon	Shelly Sorrells, Kelly E. McKinnon, Ashleigh McBratney	Christopher Sumey	Christopher Sumey - Sanford Cancer Center	Brett Mahon	Clinical Commercial	npj Genomic Medicine	2020 Q3	2020 Q3 9/9/20	2020 Q4 12/2/20	2/22/21	2021 Q1	 Breast cancer	No CLQ data included	No LENS usage 	Patient Consented		10.1038/s41525-021-00181-0	33619265	Yes		N/A	Medical Science	Oncology
Stage 7: Published	External Research: Other	Unknown	Collaborator led (Tempus authorship)	Non-Secretory Multiple Myeloma with Unusual TGF-ALK Fusion Shows Dramatic Response to ALK inhibition.	manuscript	Ameen Salahudeen	pp: Namratha Sastry	Ameen Salahudeen	Shahzad Raza	 Ashiq Masood - Rush University	Kevin White	Clinical/Pharma Commercial	npj Genomic Medicine	2020 Q4	2021 Q1		3/17/21	2021 Q1	 Multiple myeloma	No CLQ data included	No LENS usage 	No IRB Required		10.1038/s41525-021-00186-9	33731690	Yes	Collab-led project that I don't think had MA involved; Added for visibility; not in ERRC spreadsheet	N/A	R&D	Oncology
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus authorship)	Recurrent Glioblastoma Treated with Recombinant Poliovirus	manuscript	Nike Beaubier	N/A	Nike Beaubier	Darrell D. Bigner	Darell D. Bigner - Duke	Nike Beaubier	Clinical Commercial	New England Journal of Medicine		N/A		7/12/18	2018 Q3	Other	No CLQ data included	No LENS usage 	No IRB Required		10.1056/NEJMoa1716435	29943666	Yes		N/A	Medical Science	Oncology
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus authorship)	Deep neural networks can predict mortality from 12-lead electrocardiogram voltage data	manuscript	Arun Nemani, Tanner Carbonati, Ash Hafez, Kipp Johnson	N/A	Martin C. Stumpe, Ashraf Hafez, Arun Nemani, Tanner Carbonati, Kipp W. Johnson	Brandon K. Fornwalt	Brandon Fornwalt and Christ Haggerty - Geisinger Health	Martin Stumpe	Clinical Commercial	Nature Medicine		2020 Q1  2/10/20		5/11/20	2020 Q2	N/A	No CLQ data included	No LENS usage 	No IRB Required		10.1038/s41591-020-0870-z	32393799	Yes		N/A	R&D	Cardiology
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus authorship)	Recommendations for reporting of secondary findings in clinical exome and genome sequencing, 2021 update: a policy statement of the American College of Medical Genetics and Genomics (ACMG)	manuscript	Christopher Vlangos	N/A	Christopher Vlangos	ACMG Secondary Findings Working Group	ACMG Secondary Findings Working Group, David T. Miller - Boston Children's Hospital	Joel Dudley	Clinical Commercial	Nature Genetics in Medicine		2021 Q2 3/26/21		05/20/21	2021 Q2	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required		10.1038/s41436-021-01171-4	34012069	No	From Google Scholar alert	N/A	Medical Science	Oncology
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus authorship)	Very low mutation burden is a feature of inflamed recurrent glioblastomas responsive to cancer immunotherapy	manuscript	Nike Beaubier / Immuno Team	N/A	Nike Beaubier	David Ashley - Duke	David Ashley - Duke University	Kevin White	Clinical Commercial	Nature Communications		2020 Q3 8/21/20		1/13/21	2021 Q1	Other	No CLQ data included	No LENS usage 	No IRB Required		10.1038/s41467-020-20469-6	33441554	Yes	From google scholar alert	N/A	Medical Science	Oncology
Stage 7: Published	Foundational Capabilities	Yes - IP protected in previously filed patent	Tempus led	Integrated Genomic Profiling Expands Clinical Options for Cancer Patients (xT 500)	manuscript	Kevin White, Alex Bobe	N/A	Nike Beaubier, Martin Bontrager, Robert Huether, Catherine Igartua, Denise Lau, Robert Tell, Alexandria M. Bobe, Stephen Bush, Alan L. Chang, Derick C. Hoskinson, Aly A. Khan, Emily Kudalkar, Benjamin D. Leibowitz, Ariane Lozachmeur, Jackson Michuda, Jerod Parsons, Jason F. Perera, Ameen Salahudeen, Kaanan P. Shah, Timothy Taxter, Wei Zhu, and Kevin P. White	Kevin White	N/A	Kevin White	Clinical/Pharma Commercial	Nature Biotechnology	2019 Q2  5/27/19	2019 Q4  12/3/19		9/30/19	2019 Q3	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required		10.1038/s41587-019-0259-z	31570899	Yes	T19.01 Vivli Repo	N/A	R&D	Oncology
Stage 7: Published	Topic / Project-specific	Yes - IP protected in previously filed patent	Tempus led	HRD clinical assay white paper	white paper	Aarti Venkat, Joshua Bell	N/A	Matthew Kase, Johsual SK Bell	N/A	N/A	Nike Beubier	Clinical/Pharma Commercial	N/A	N/A	N/A		06/06/20	2020 Q2	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required		N/A	N/A	Not Applicable		N/A	N/A	Oncology
Stage 7: Published	Foundational Capabilities	Unknown	Tempus led	TIME / Rapid Site Activation	white paper	Michael Axelson	N/A	Michael Axelson, Alexandria Bobe	N/A	N/A	Michael Axelson	Therapy Solutions	N/A	N/A	N/A		5/29/20	2020 Q2	N/A	No CLQ data included	No LENS usage 	No IRB Required		N/A	N/A	Not Applicable		N/A	N/A	Oncology
Stage 7: Published	Topic / Project-specific	Unknown	Tempus led	Pharmacogenomic Testing vs. Traditional Genetic Testing: How are they different?	white paper	Lisa Brown / Matthew Kase / Megan Dubinsky	Matthew Kase	Lisa Brown, Matthew Kase	N/A	N/A	Kim Blackwell	Clinical Commercial	N/A	N/A	N/A		N/A	2020 Q4	N/A	No CLQ data included	No LENS usage 	No IRB Required		N/A	N/A	Not Applicable		N/A	N/A	Neuropsych
Stage 7: Published	Topic / Project-specific	Unknown	Tempus led	MTHFR in Psychiatry	white paper	Lisa Brown / Matthew Kase / Megan Dubinsky	Matthew Kase	Lisa Brown, Matthew Kase	N/A	N/A	Kim Blackwell	Clinical Commercial	N/A	N/A	N/A		N/A	2021 Q1	N/A	No CLQ data included	No LENS usage 	No IRB Required		N/A	N/A	Not Applicable		N/A	N/A	Neuropsych
Stage 7: Published	Foundational Capabilities	Yes - IP not covered by patent, but publication will be filed as a provisional	Tempus led	Real-world Evidence of Diagnostic Testing and Treatment Patterns in U.S. Breast Cancer Patients with Implications for Treatment Biomarkers from RNA-sequencing Data (v2, Pre-print)	manuscript	Louis Fernandes, Carrie Epstein, Josh SK Bell, Gary Palmer, Alex Bobe	N/A	Louis E. Fernandes, Caroline G. Epstein, Alexandria M. Bobe, Joshua S.K. Bell, Martin C. Stumpe, Michael E. Salazar, Ameen A. Salahudeen, Ruth A. Pe Benito, Calvin McCarter, Benjamin D. Leibowitz, Matthew Kase, Catherine Igartua, Robert Huether, Ashraf Hafez, Nike Beaubier, Michael D. Axelson, and Gary Palmer	Gary Palmer	Mark Pegram - Standford, Joyce O'Shaughnessy - Texas Oncology, Sarah Sammons - Duke Cancer Center	Gary Palmer	Clinical/Pharma Commercial	medRxiv	2020 Q3  8/1/20	2020 Q3 8/07/20		8/11/20	2020 Q3	 Breast cancer	CLQ data included	No LENS usage 	Covered under IRB Protocol - Waiver of consent & Exemption	Pro00039354	10.1016/j.clbc.2020.11.012	33446413	Yes	Preprint 	N/A	R&D	Oncology
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus authorship)	(Preprint) Early introductions and transmission of SARS-CoV-2 variant B.1.1.7 in the United States	manuscript	Matthew MacKay, Gaurav Khullar, Jessica Metti, Joel Dudley, Megan Nash, Christopher Mason	Matthew Kase	Matthew J. MacKay, Gaurav Khullar, Jessica Metti, Joel T. Dudley, Megan Nash, Nike Beaubier, Christopher E. Mason	Nathan D. Grubaugh	Nathan D. Grubaugh - Yale	Joel Dudley	Clinical Commercial	MedRxiv		2021 Q2		2/12/21	2021 Q1	N/A	No CLQ data included	No LENS usage 	No IRB Required		10.1101/2021.02.10.21251540	33594373	Yes	Preprint of a manuscript submitted to Cell. Initially uploaded to the website but removed upon publication in Cell. 	N/A	R&D	Cardiology
Stage 7: Published	Topic / Project-specific	Not Applicable	Collaborator led (Tempus authorship)	Digital Medicine Measurement	manuscript	Noah Zimmerman	N/A	Noah Zimmerman	Noah Zimmerman	N/A	Martin Stumpe	R&D/Other	Karger (publisher)		N/A		04/27/20	2020 Q2	N/A	No CLQ data included	No LENS usage 	No IRB Required		10.1159/isbn.978-3-318-06708-8	N/A	Not Applicable	This is not necessarily an academic publication, looks like a long white paper or "book"?	N/A	R&D	N/A
Stage 7: Published	External Research: Other	Yes - IP protected in previously filed patent	Collaborator led (Tempus authorship)	Somatic Tumor Profile Analysis in a Patient with Germline PMS2 Mutation and Synchronous Ovarian and Uterine Carcinomas	manuscript	Brett Mahon	pp: Matthew Kase	Brett Mahon	David J Draper	Timothy Yap and Funda Meric-Bernstam - MD Anderson, Tianhong Li - UC Davis, Hyunseok Kang - UCSF, Judy E Garber - Dana Farber	Joel Dudley	Clinical Commercial	Journal of Personalized Medicine		2021 Q1 03/17/21		07/05/21	2021 Q3	Reproductive or hormone-related cancer	No CLQ data included	No LENS usage 	Covered under external collaborator's IRB		https://doi.org/10.3390/jpm11070634	34357101	Yes		N/A	Medical Science	Oncology
